Exercise Name,Video Link,Primary Muscle,Secondary Muscle 1,Secondary Muscle 2,Secondary Muscle 3
Military Press (AKA Overhead Press),https://www.youtube.com/watch?v=j7ULT6dznNc,Front Deltoids, Lateral Deltoids,Triceps,
Stiff Leg Deadlift,https://www.youtube.com/watch?v=CkrqLaDGvOA,Hamstrings,Adductors,Spinal Erectors,
Barbell Back Squat,https://www.youtube.com/watch?v=R2dMsNhN3DE,Quads,Glutes,Adductors,
Deadlift,https://www.youtube.com/watch?v=wjsu6ceEkAQ,Hamstrings,Adductors,Glutes,
Romanian Deadlift (AKA RDL),https://www.youtube.com/watch?v=-m45n1_x32E,Glutes,Hamstrings,Adductors,Spinal Erectors
Incline Bench Press,https://www.youtube.com/watch?v=uIzbJX5EVIY,Chest,Shoulders,Triceps,
Close Grip Bench Press,https://www.youtube.com/watch?v=j-NhORwJDb4,Triceps,Chest,Shoulders,
Seated Barbell Shoulder Press,https://www.youtube.com/watch?v=Gxhx7GpRb5g,Front Deltoids, Lateral Deltoids,Triceps,
T-Bar Row,https://www.youtube.com/watch?v=gJSov9rHIf0,Traps,Rear Deltoids,Biceps,
Good Mornings,https://www.youtube.com/watch?v=8sGgyquE1Bs,Glutes,Hamstrings,Spinal Erectors,Adductors
Front Squat,https://www.youtube.com/watch?v=9xAkoz95IFE,Quads,Adductors,Glutes,
Decline Bench Press,https://www.youtube.com/watch?v=oIgci8aNsG0,Chest,Shoulders,Triceps,
Sumo Deadlift,https://www.youtube.com/watch?v=o4gIucBC4ls,Quads,Adductors,Glutes,
Pendlay Row,https://www.youtube.com/watch?v=EDhJ_FTlaXA,Traps,Rear Deltoids,Biceps,
Push Press,https://www.youtube.com/watch?v=zwy8skLFtVY,Front Deltoids, Lateral Deltoids,Triceps,
Wide Grip Barbell Bench Press,https://www.youtube.com/watch?v=YQnZuQLnJ3k,Chest,Shoulders,Triceps,
Narrow Stance High Bar Back Squat,https://www.youtube.com/watch?v=Ay-cr8FOA5M,Quads,Adductors,Glutes
Zerchers Squat,https://www.youtube.com/watch?v=4roeIJ-zfwM,Quads,Adductors,Biceps
Muscle Clean,https://www.youtube.com/watch?v=cyEgQtFsAZA,Quads,Traps,Adductors,
Seated Good Mornings,https://www.youtube.com/watch?v=XZ7mDHLBQCs,Glutes,Abs,Hamstrings,Spinal Erectors
Military Press Behind Neck,https://www.youtube.com/watch?v=Ud80UFJ_zxs,Front Deltoids, Lateral Deltoids,Triceps,
Clean & Jerk,https://www.youtube.com/watch?v=3jlUIMXsZs0,Quads,Traps,Adductors,
Jefferson Deadlift,https://www.youtube.com/watch?v=75QNMnaqeZY,Hamstrings,Adductors,Spinal Erectors
Power Clean,https://www.youtube.com/watch?v=rDw2ToBMx0o,Quads,Traps,Adductors,
Snatch Grip Deadlift,https://www.youtube.com/watch?v=OCuawmNbo4E,Hamstrings,Adductors,Spinal Erectors
Power Snatch,https://www.youtube.com/watch?v=sd-inNX-LdU,Quads,Traps,Adductors,
Deep Front Squat,https://www.youtube.com/watch?v=GlrGvLOrWOs,Quads,Adductors,Spinal Erectors
Hang Clean,https://www.youtube.com/watch?v=Pz1q5pceH5E,Quads,Traps,Adductors,
Snatch Shrug,https://www.youtube.com/watch?v=afkmMhd16u4,Traps,
Single Leg Good Morning,https://www.youtube.com/watch?v=2VA4nznLce8,Glutes,Hamstrings,Spinal Erectors,Adductors
Snatch,https://www.youtube.com/watch?v=LPIra6bSv0I,Quads,Traps,Adductors,
Power Jerk,https://www.youtube.com/watch?v=slz3LcUQ0W8,Quads,Traps,Adductors,
Conventional Block Pull Deadlift,https://www.youtube.com/watch?v=0ZkAbQ2lMuI,Hamstrings,Adductors,Glutes
Behind The Neck Push Press,https://www.youtube.com/watch?v=Ff1Sk0Xu4xM,Front Deltoids, Lateral Deltoids,Triceps,
High Bar Back Squat,https://www.youtube.com/watch?v=9OUF5G93rCA,Quads,Adductors,Spinal Erectors
Narrow Stance Front Squat,https://www.youtube.com/watch?v=FZPanhbGDGI,Quads,Adductors,Spinal Erectors
Low Bar Back Squat,https://www.youtube.com/watch?v=EFQh3JSYX0A,Quads,Adductors,Spinal Erectors
Split Clean,https://www.youtube.com/watch?v=OWcfv7uq8Fs,Quads,Traps,Adductors,
Split Jerk,https://www.youtube.com/watch?v=YqSivv9cpIs,Quads,Traps,Adductors,
Muscle Snatch,https://www.youtube.com/watch?v=vTPel_ZSJ10,Quads,Traps,Adductors,
Split Snatch,https://www.youtube.com/watch?v=E1KxzIx8UTM,Quads,Traps,Adductors,

